"Date","T_treatment","Tair"
2013-05-28,"ambient",10.763789633199
2013-05-28,"elevated",13.762647061641
2013-05-29,"ambient",10.9556094333161
2013-05-29,"elevated",13.9507486360641
2013-05-30,"ambient",12.2854976254051
2013-05-30,"elevated",15.2819999049472
2013-05-31,"ambient",13.3102447297375
2013-05-31,"elevated",16.3084334874927
2013-06-01,"ambient",13.3713355092801
2013-06-01,"elevated",16.3765288978323
2013-06-02,"ambient",13.902610888142
2013-06-02,"elevated",16.9067874583328
2013-06-03,"ambient",13.9467011893068
2013-06-03,"elevated",16.9516895321393
2013-06-04,"ambient",13.4092621835903
2013-06-04,"elevated",16.4106259518431
2013-06-05,"ambient",12.0086732502577
2013-06-05,"elevated",15.0070260699753
2013-06-06,"ambient",11.062121871988
2013-06-06,"elevated",14.0605974002463
2013-06-07,"ambient",11.2730969973093
2013-06-07,"elevated",14.2739246141444
2013-06-08,"ambient",13.1481459642956
2013-06-08,"elevated",16.137358857936
2013-06-09,"ambient",13.9646384682362
2013-06-09,"elevated",16.9534522800356
2013-06-10,"ambient",13.7918215007216
2013-06-10,"elevated",16.7764215793772
2013-06-11,"ambient",11.9572607964568
2013-06-11,"elevated",14.9537567170214
2013-06-12,"ambient",11.304275760077
2013-06-12,"elevated",14.3027937285048
2013-06-13,"ambient",10.5278101516306
2013-06-13,"elevated",13.5266491463347
2013-06-14,"ambient",11.0120829634187
2013-06-14,"elevated",14.0184943197484
2013-06-15,"ambient",11.6197009067351
2013-06-15,"elevated",14.6243866896888
2013-06-16,"ambient",13.2809263162318
2013-06-16,"elevated",16.2876781043821
2013-06-17,"ambient",12.6771801082642
2013-06-17,"elevated",15.6778949966104
2013-06-18,"ambient",11.1701855578183
2013-06-18,"elevated",14.1706103783877
2013-06-19,"ambient",9.19983856511853
2013-06-19,"elevated",12.1995338901205
2013-06-20,"ambient",9.77528441452988
2013-06-20,"elevated",12.7758923298437
2013-06-21,"ambient",10.4459644988782
2013-06-21,"elevated",13.4473288816934
2013-06-22,"ambient",10.4917782601441
2013-06-22,"elevated",13.4926248988961
2013-06-23,"ambient",9.40240289294037
2013-06-23,"elevated",12.4028110325418
2013-06-24,"ambient",9.69672706270812
2013-06-24,"elevated",12.6971598388671
2013-06-25,"ambient",10.4871083068139
2013-06-25,"elevated",13.4870697795521
2013-06-26,"ambient",11.4428317115014
2013-06-26,"elevated",14.4443521611633
2013-06-27,"ambient",12.505127251651
2013-06-27,"elevated",15.5066882774133
2013-06-28,"ambient",13.3185512024611
2013-06-28,"elevated",16.3219200374773
2013-06-29,"ambient",14.008006913646
2013-06-29,"elevated",17.0067942076959
2013-06-30,"ambient",13.3418968543708
2013-06-30,"elevated",16.3429283109024
2013-07-01,"ambient",12.8208144430047
2013-07-01,"elevated",15.8192393393327
2013-07-02,"ambient",11.6326072691515
2013-07-02,"elevated",14.6358090253981
2013-07-03,"ambient",10.4304881508887
2013-07-03,"elevated",13.4282355870635
2013-07-04,"ambient",8.86127631529482
2013-07-04,"elevated",11.8299692804457
2013-07-05,"ambient",9.43372710020386
2013-07-05,"elevated",12.4052854621881
2013-07-06,"ambient",10.3241830692961
2013-07-06,"elevated",13.298224875821
2013-07-07,"ambient",10.7335738971021
2013-07-07,"elevated",13.7391799159654
2013-07-08,"ambient",9.77738739645586
2013-07-08,"elevated",12.7783511442517
2013-07-09,"ambient",8.56154981192336
2013-07-09,"elevated",11.56146664233
2013-07-10,"ambient",8.61690445204433
2013-07-10,"elevated",11.6171644299324
2013-07-11,"ambient",8.92663781219306
2013-07-11,"elevated",11.923644124929
2013-07-12,"ambient",9.06478600613614
2013-07-12,"elevated",12.062887234309
2013-07-13,"ambient",8.82122013799906
2013-07-13,"elevated",11.816706683884
2013-07-14,"ambient",8.5280539715715
2013-07-14,"elevated",11.5267266848994
2013-07-15,"ambient",9.76780339883618
2013-07-15,"elevated",12.7675201499542
2013-07-16,"ambient",11.3942335861
2013-07-16,"elevated",14.3955058854609
2013-07-17,"ambient",13.354915820343
2013-07-17,"elevated",16.3578971658339
2013-07-18,"ambient",14.3837595282882
2013-07-18,"elevated",17.3876622126849
2013-07-19,"ambient",14.5191003136912
2013-07-19,"elevated",17.523479268393
2013-07-20,"ambient",14.6969298777245
2013-07-20,"elevated",17.7005086225302
2013-07-21,"ambient",14.1949203518417
2013-07-21,"elevated",17.1964537432408
2013-07-22,"ambient",13.0887189549423
2013-07-22,"elevated",16.0901698908181
2013-07-23,"ambient",10.7183489758405
2013-07-23,"elevated",13.719248648929
2013-07-24,"ambient",9.15582198691753
2013-07-24,"elevated",12.1567496175072
2013-07-25,"ambient",9.67746030975958
2013-07-25,"elevated",12.678306991361
2013-07-26,"ambient",9.55064804149269
2013-07-26,"elevated",12.5512119586469
2013-07-27,"ambient",9.23072190567039
2013-07-27,"elevated",12.2314911191764
2013-07-28,"ambient",8.06144757996313
2013-07-28,"elevated",11.0614381701176
2013-07-29,"ambient",8.27462818552223
2013-07-29,"elevated",11.2719134878155
2013-07-30,"ambient",9.5967982805017
2013-07-30,"elevated",12.5967459702304
2013-07-31,"ambient",10.6865815847796
2013-07-31,"elevated",13.6879732971337
2013-08-01,"ambient",12.1462146531423
2013-08-01,"elevated",15.150082540675
2013-08-02,"ambient",11.5091902970034
2013-08-02,"elevated",14.5089192302177
2013-08-03,"ambient",11.3262955755703
2013-08-03,"elevated",14.3272235587969
2013-08-04,"ambient",11.0549627920245
2013-08-04,"elevated",14.0564716478438
2013-08-05,"ambient",12.1475856505675
2013-08-05,"elevated",15.1500389912267
2013-08-06,"ambient",12.7462201763423
2013-08-06,"elevated",15.7477312512467
2013-08-07,"ambient",13.4778381163997
2013-08-07,"elevated",16.4791391559901
2013-08-08,"ambient",13.060563353656
2013-08-08,"elevated",16.059192221833
2013-08-09,"ambient",12.2998100771874
2013-08-09,"elevated",15.2997421844265
2013-08-10,"ambient",11.0274872443726
2013-08-10,"elevated",14.027235436532
2013-08-11,"ambient",11.4400598321994
2013-08-11,"elevated",14.4432033969608
2013-08-12,"ambient",11.5570873426908
2013-08-12,"elevated",14.5575751597002
2013-08-13,"ambient",12.4713797829423
2013-08-13,"elevated",15.4717907154431
2013-08-14,"ambient",12.3800813346221
2013-08-14,"elevated",15.379292632247
2013-08-15,"ambient",13.2589510173685
2013-08-15,"elevated",16.2587157635472
2013-08-16,"ambient",12.7791968891986
2013-08-16,"elevated",15.7783455337437
2013-08-17,"ambient",11.4314474446796
2013-08-17,"elevated",14.4295884843264
2013-08-18,"ambient",11.5304243549677
2013-08-18,"elevated",14.5288025862498
2013-08-19,"ambient",12.33042294888
2013-08-19,"elevated",15.3296375239284
2013-08-20,"ambient",13.8202557447888
2013-08-20,"elevated",16.8203910289593
2013-08-21,"ambient",12.2756299038144
2013-08-21,"elevated",15.2743743160891
2013-08-22,"ambient",10.2301075477399
2013-08-22,"elevated",13.2270900916681
2013-08-23,"ambient",8.79009511753113
2013-08-23,"elevated",11.7881690285492
2013-08-24,"ambient",10.4945199609077
2013-08-24,"elevated",13.4930319107023
2013-08-25,"ambient",12.3594343930783
2013-08-25,"elevated",15.3601551206784
2013-08-26,"ambient",13.3954943844243
2013-08-26,"elevated",16.3953878400266
2013-08-27,"ambient",12.1600712811227
2013-08-27,"elevated",15.1601595058384
2013-08-28,"ambient",11.9421836992707
2013-08-28,"elevated",14.9380076147305
2013-08-29,"ambient",12.1646245541717
2013-08-29,"elevated",15.1642615609831
2013-08-30,"ambient",13.0938466296787
2013-08-30,"elevated",16.0934025371046
2013-08-31,"ambient",14.8110207291158
2013-08-31,"elevated",17.8152862536613
2013-09-01,"ambient",15.534375355624
2013-09-01,"elevated",18.5340706957087
2013-09-02,"ambient",15.4059525098798
2013-09-02,"elevated",18.4049985018826
2013-09-03,"ambient",13.7747474423319
2013-09-03,"elevated",16.7736217794036
2013-09-04,"ambient",13.3770389308134
2013-09-04,"elevated",16.4401197949782
2013-09-05,"ambient",13.6338687968456
2013-09-05,"elevated",17.0028013248966
2013-09-06,"ambient",14.4761311922463
2013-09-06,"elevated",17.8470620237641
2013-09-07,"ambient",15.754260877856
2013-09-07,"elevated",19.0587254887493
2013-09-08,"ambient",17.6666731979259
2013-09-08,"elevated",20.6692355965467
2013-09-09,"ambient",18.2465077006876
2013-09-09,"elevated",21.24302146279
2013-09-10,"ambient",18.5954396571277
2013-09-10,"elevated",21.6001905212835
2013-09-11,"ambient",19.4731880956352
2013-09-11,"elevated",22.5742437859275
2013-09-12,"ambient",18.8574534949149
2013-09-12,"elevated",21.9618639802527
2013-09-13,"ambient",17.3687760980959
2013-09-13,"elevated",20.4680339496445
2013-09-14,"ambient",14.2565669111986
2013-09-14,"elevated",17.2566156040549
2013-09-15,"ambient",14.24361703805
2013-09-15,"elevated",17.2423528773864
2013-09-16,"ambient",14.3764938567861
2013-09-16,"elevated",17.3771417096574
2013-09-17,"ambient",14.8465488675507
2013-09-17,"elevated",17.8420727005483
2013-09-18,"ambient",15.6110567375009
2013-09-18,"elevated",18.5224904446189
2013-09-19,"ambient",17.0907541103185
2013-09-19,"elevated",19.8089945883252
2013-09-20,"ambient",17.9448459172086
2013-09-20,"elevated",20.6685793500509
2013-09-21,"ambient",16.2091508330163
2013-09-21,"elevated",19.037136490177
2013-09-22,"ambient",14.1828290059647
2013-09-22,"elevated",17.2023118283447
2013-09-23,"ambient",13.6878749441877
2013-09-23,"elevated",16.7067548056755
2013-09-24,"ambient",15.2033981302415
2013-09-24,"elevated",18.202468533768
2013-09-25,"ambient",17.2282856356462
2013-09-25,"elevated",20.2203418130555
2013-09-26,"ambient",19.053750659873
2013-09-26,"elevated",22.0469402508934
2013-09-27,"ambient",19.3863383312713
2013-09-27,"elevated",22.3804948448237
2013-09-28,"ambient",17.7995777892411
2013-09-28,"elevated",20.7998995909447
2013-09-29,"ambient",16.3729058854386
2013-09-29,"elevated",19.3733435072346
2013-09-30,"ambient",15.87814871883
2013-09-30,"elevated",18.8775615031978
2013-10-01,"ambient",17.0571561960275
2013-10-01,"elevated",20.0584776639993
2013-10-02,"ambient",18.0842820592692
2013-10-02,"elevated",21.0852317267719
2013-10-03,"ambient",18.0697717257104
2013-10-03,"elevated",21.0719872254005
2013-10-04,"ambient",16.842507628123
2013-10-04,"elevated",19.8435161333177
2013-10-05,"ambient",15.083585533815
2013-10-05,"elevated",18.0841401165502
2013-10-06,"ambient",15.2070874276117
2013-10-06,"elevated",18.2071750656595
2013-10-07,"ambient",16.3171944028282
2013-10-07,"elevated",19.317254787494
2013-10-08,"ambient",17.5185267025829
2013-10-08,"elevated",20.5182571839684
2013-10-09,"ambient",16.8801154648191
2013-10-09,"elevated",19.880856322486
2013-10-10,"ambient",17.431688653255
2013-10-10,"elevated",20.4311434155258
2013-10-11,"ambient",19.5960662684716
2013-10-11,"elevated",22.5904725139456
2013-10-12,"ambient",21.0496333012398
2013-10-12,"elevated",24.0433301882555
2013-10-13,"ambient",21.5142964865781
2013-10-13,"elevated",24.5040231707811
2013-10-14,"ambient",21.6695830274397
2013-10-14,"elevated",24.4099554037964
2013-10-15,"ambient",20.6729087800114
2013-10-15,"elevated",23.4132483889829
2013-10-16,"ambient",18.8011788894671
2013-10-16,"elevated",21.5465707310158
2013-10-17,"ambient",16.6584308079211
2013-10-17,"elevated",19.6582450847134
2013-10-18,"ambient",18.5236439160963
2013-10-18,"elevated",21.5234105295264
2013-10-19,"ambient",18.8501158532427
2013-10-19,"elevated",21.8503850828938
2013-10-20,"ambient",17.9302226345273
2013-10-20,"elevated",20.9304701021697
2013-10-21,"ambient",16.9612217278243
2013-10-21,"elevated",19.9615283177727
2013-10-22,"ambient",19.1906009314366
2013-10-22,"elevated",22.1336115866061
2013-10-23,"ambient",20.8466581887848
2013-10-23,"elevated",23.7891235678068
2013-10-24,"ambient",22.6637219674754
2013-10-24,"elevated",25.6081198003673
2013-10-25,"ambient",21.0084495742942
2013-10-25,"elevated",24.0102014614096
2013-10-26,"ambient",18.6825638898672
2013-10-26,"elevated",21.6787188767547
2013-10-27,"ambient",15.7534435104165
