"Date","T_treatment","GPP","GPP_SE","LA","LA_SE","RM","RM_SE","LM","WM","LM_SE","WM_SE","litter","litter_SE","TNC_tot","TNC_tot_SE","TNC_leaf","TNC_leaf_SE","TNC_wood","TNC_wood_SE","TNC_root","TNC_root_SE"
2013-01-08,"ambient",2.8331787284658,0.198616471446619,0.642330308728972,0.010756038286533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-08,"elevated",2.9757568113312,0.350390812086395,0.742573186036195,0.0180724223442805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-09,"ambient",3.9169087775532,0.277564077317772,0.666422923456566,0.0112130923894848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-09,"elevated",4.1518849112832,0.480346116779844,0.772064333215782,0.0188522576962418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,"ambient",3.3099100752198,0.234100852174621,0.690515538184159,0.011673602056945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,"elevated",3.5525162943816,0.409932787838998,0.801555480395368,0.0196403681249816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,"ambient",3.7936896610548,0.268551738782931,0.714608152911753,0.0121371739613358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,"elevated",3.761314170627,0.431657999205917,0.831046627574954,0.0204357962631238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-12,"ambient",3.1561560600258,0.224719220870316,0.738700767639347,0.0126034702081043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-12,"elevated",3.309276342645,0.369735193105116,0.860537774754541,0.0212377199038609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-13,"ambient",2.3441411224062,0.169419382009653,0.76279338236694,0.0130721992618093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-13,"elevated",2.5613721675282,0.284936486840129,0.890028921934127,0.0220454302182022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-14,"ambient",4.6993995889464,0.352514049852672,0.786885997094534,0.0135431085253479,NA,NA,52.5176096442252,0.0234767573452527,5.56818696466243,0.00940574689965509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-14,"elevated",5.0227110822018,0.574444942804178,0.919520069113713,0.022858313789084,NA,NA,57.9537877399766,0.0641109072072212,8.36630688615735,0.0253128895839463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-15,"ambient",5.2658173548474,0.38942431765788,0.802647493885026,0.0135972419808512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-15,"elevated",5.5765914789078,0.630403783453507,0.937421759583778,0.0231670418004304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-16,"ambient",4.6970452515324,0.336341333424339,0.818408990675518,0.0136597962664209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
