"","Date","chamber","gCarbon_tree","gCarbon_la"
"94",2012-12-27,"C08",3.6287642535768,6.37419231494236
"95",2012-12-27,"C10",2.3003472036168,6.00071059682124
"96",2012-12-27,"C12",2.6703275448564,6.61414555259566
"97",2012-12-28,"C02",1.6711086964572,4.94287054061536
"98",2012-12-28,"C04",3.2571118787688,4.9013522825028
"99",2012-12-28,"C06",2.01436374087,5.69985123874282
"100",2012-12-28,"C08",3.5495984149236,5.94249542101046
"101",2012-12-28,"C10",2.2634872300872,5.64767809819949
"102",2012-12-28,"C12",2.6712999791712,6.24122122012118
"103",2012-12-29,"C02",1.6100585005284,4.6125086548308
"104",2012-12-29,"C04",3.2256588821652,4.60782468359703
"105",2012-12-29,"C06",2.0118399084576,5.45807427906625
"106",2012-12-29,"C08",3.5371621518012,5.65621001623227
"107",2012-12-29,"C10",2.2443572116836,5.36647651598441
